"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Trevor May","Twins","60.4 %","93.2","6.2 %","84.9","","","17.0 %","77.6","16.4 %","85.4","","","","","0.4 %","6398"
"Eddie Butler","Rockies","62.9 %","93.2","19.4 %","87.1","","","6.8 %","80.4","11.0 %","87.4","","","","","0.8 %","13453"
"Anthony Swarzak","- - -","53.8 %","93.2","46.2 %","86.2","","","","","","","","","","","0.5 %","7466"
"Dominic Leone","- - -","53.5 %","93.2","18.7 %","82.3","27.3 %","88.8","","","0.5 %","87.0","","","","","1.7 %","13763"
"Luis Avilan","- - -","56.6 %","93.2","","","0.2 %","86.5","6.4 %","77.1","36.8 %","82.0","","","","","2.0 %","2882"
"Junichi Tazawa","- - -","57.0 %","93.2","8.5 %","80.3","","","11.7 %","75.5","","","22.8 %","86.9","","","0.4 %","4079"
"Cody Reed","Reds","52.6 %","93.2","36.0 %","87.6","","","","","11.4 %","85.9","","","","","1.3 %","15232"
"Derek Law","Giants","53.6 %","93.1","23.1 %","83.2","","","18.7 %","76.7","4.7 %","83.0","","","","","","13133"
"Junior Guerra","- - -","61.3 %","93.1","15.0 %","82.0","","","","","","","23.7 %","84.9","","","0.3 %","5702"
"Mike Wright","Orioles","69.9 %","93.1","18.8 %","82.6","","","2.2 %","76.6","9.1 %","80.4","","","","","0.5 %","12586"
"Kenley Jansen","Dodgers","91.9 %","93.1","8.1 %","82.9","","","","","","","","","","","0.4 %","3096"
"Jared Hughes","- - -","82.5 %","93.1","14.5 %","86.3","","","","","3.0 %","87.8","","","","","1.5 %","9325"
"Mike Pelfrey","- - -","71.1 %","93.1","9.2 %","83.9","","","4.4 %","72.6","","","15.4 %","81.1","","","0.2 %","5203"
"Al Alburquerque","- - -","43.5 %","93.0","56.5 %","85.5","","","","","","","","","","","1.1 %","6324"
"Brandon Cunniff","Braves","62.5 %","93.0","34.4 %","83.4","","","","","3.1 %","81.9","","","","","1.4 %","11509"
"Trevor Bauer","Indians","53.9 %","93.0","9.2 %","84.5","9.6 %","88.7","15.7 %","77.3","10.1 %","85.7","1.5 %","85.6","","","0.1 %","12703"
